Bus Stop,Lat,Long
BEALE  & HOWARD ST,37.789676,-122.394025
MAIN ST & HOWARD ST,37.790393,-122.39351
FREMONT ST & MARKET ST,37.791648,-122.39814
MARKET ST & SANSOME ST ,37.790011,-122.400334
MARKET ST & MONTGOMERY ST,37.788697,-122.401938
GEARY BLVD & KEARNY ST ,37.788188,-122.403456
GEARY BLVD & STOCKTON ST ,37.787641,-122.406487
GEARY BLVD & POWELL ST,37.787455,-122.408354
GEARY BLVD & LEAVENWORTH ST,37.786594,-122.415016
GEARY BLVD & VAN NESS AVE,37.786124,-122.421319
GEARY BLVD&LAGUNA ST,37.785021,-122.427821
GEARY BLVD & FILLMORE ST,37.784746,122.432923
GEARY BLVD & DIVISADERO ST,37.783169,-122.439639
GEARY BLVD & PRESIDIO AVE,37.782321,-122.445926
GEARY BLVD & SPRUCE ST,37.78185,-122.453077
GEARY BLVD & ARGUELLO BLVD,37.78138,-122.458736
GEARY BLVD & 6TH AVE,37.781112,-122.464165
GEARY BLVD & PARK PRESIDIO,37.780782,-122.472217
GEARY BLVD & 20TH AVE,37.780209,-122.479464
GEARY BLVD & 25TH AVE,37.78026,-122.484834
GEARY BLVD & 33RD AVE ,37.779794,-122.493219
GEARY BLVD & 36TH AVE ,37.779667,-122.4964
GEARY BLVD & 40TH AVE,37.779467,-122.50067
POINT LOBOS AVE & 42ND AVE,37.77965,-122.502853
POINT LOBOS AVE & 44TH AVE,37.779824,-122.504994
POINT LOBOS AVE & 46TH AVE,37.78004,-122.507434
48TH AVE&POINT LOBOS AVE,37.779035,-122.509403