minutes,fortyMPHold,twentyfileold,tenMPHold,fortyMPHnew,twentyfilenew,tenMPHnew
405,35.6523277,42.07907704,69.62938132,83.95711386,99.09136626,163.9691508
435,29.87867139,35.26465161,58.35336815,95.08737851,112.2279914,185.7066779
465,29.6784122,35.02829335,57.96225978,73.54684626,86.80452609,143.6377856
495,27.46910112,32.42072809,53.64745136,58.39626405,68.92287411,114.0485348
525,39.25548847,46.33174972,76.66639326,76.6311074,90.4447614,149.661381
555,33.34351732,39.35407657,65.1202497,71.56498753,84.46541413,139.7671941
585,44.10377589,52.05399769,86.13515099,87.44290378,103.2055106,170.7769362
615,40.18166152,47.4248763,78.47521923,86.79773202,102.4440391,169.5169087
645,39.32521403,46.41404412,76.80256802,82.74647621,97.66249701,161.6047624
675,42.57710673,50.25212854,83.15354961,87.76865909,103.5899871,171.4131398
705,38.10687693,44.9760875,74.42314251,82.75856835,97.6767689,161.6283784
735,34.86629212,41.15134935,68.09424535,74.43437293,87.85203983,145.3711348
765,35.6523277,42.07907704,69.62938132,73.44612912,86.68565351,143.441084
795,33.24338664,39.23589616,64.92469339,72.67828626,85.77939798,141.9414786
825,29.83840364,35.21712512,58.27472479,52.73458053,62.24060587,102.9912057
855,27.60610411,32.58242748,53.9150197,70.24967488,82.91300098,137.1983743
885,26.86904794,31.7125083,52.47554102,64.98167353,76.69538072,126.9099107
915,23.70459904,27.97763045,46.29533811,55.24606439,65.20481409,107.8961608
945,24.79294009,29.26215772,48.42087995,62.55138915,73.82700914,122.1635391
975,24.90449437,29.39382097,48.63874668,59.49726997,70.22234924,116.1988113
1005,23.06259948,27.21990296,45.04150604,53.62314456,63.28934397,104.7265809
1035,20.20081706,23.84225077,39.45241405,50.60191977,59.72350805,98.82609621
1065,21.02573172,24.81586595,41.06348129,46.40091204,54.76521951,90.62148271
1095,21.30904283,25.1502472,41.61679095,54.40374341,64.21065489,106.2510989
1125,21.30904283,25.1502472,41.61679095,54.40374341,64.21065489,106.2510989
1155,22.70779026,26.80113522,44.34855979,55.74843571,65.79774372,108.8772975
1185,25.9555633,30.63435737,50.69149566,104.1616389,122.9379934,203.4288065
1215,28.27598403,33.3730611,55.22330242,94.98143379,112.1029489,185.4997667
1245,33.34351732,39.35407657,65.1202497,124.3649407,146.7831768,242.8860732